Year,Month,Category,Value
2018,January,ESports,186
2018,February,ESports,167
2018,March,ESports,175
2018,April,ESports,251
2018,May,ESports,179
2018,June,ESports,168
2018,July,ESports,231
2018,August,ESports,214
2018,September,ESports,260
2018,October,ESports,290
2018,November,ESports,200
2018,December,ESports,222
2019,January,ESports,211
2019,February,ESports,220
2019,March,ESports,292
2019,April,ESports,204
2019,May,ESports,210
2019,June,ESports,245
2019,July,ESports,224
2019,August,ESports,225
2019,September,ESports,311
2019,October,ESports,331
2019,November,ESports,257
2019,December,ESports,234
2020,January,ESports,228
2020,February,ESports,271
2020,March,ESports,282
2020,April,ESports,255
2020,May,ESports,258
2020,June,ESports,245
2020,July,ESports,263
2020,August,ESports,298
2020,September,ESports,260
2020,October,ESports,261
2020,November,ESports,214
2020,December,ESports,173
2021,January,ESports,257
2021,February,ESports,213
2021,March,ESports,214
2021,April,ESports,227
2021,May,ESports,255
2021,June,ESports,189
2021,July,ESports,189
2021,August,ESports,258
2021,September,ESports,214
2021,October,ESports,354
2021,November,ESports,222
2021,December,ESports,182
2022,January,ESports,278
2022,February,ESports,246
2022,March,ESports,238
2022,April,ESports,257
2022,May,ESports,310
2022,June,ESports,212
2022,July,ESports,290
2022,August,ESports,292
2022,September,ESports,289
2022,October,ESports,426
2022,November,ESports,219
2022,December,ESports,190
